ins_208540586,M4,j_14203,1,Terminated,424226,424226,m_935,1,1,75,75,0.02,0
ins_791882749,R10_3_8_9,j_14203,1,Terminated,424226,424226,m_2235,1,1,47,68,0.03,0.03
ins_791882659,R10_3_8_9,j_14203,1,Terminated,424226,424226,m_145,1,1,44,69,0.03,0.03
ins_630891958,M9,j_14203,1,Terminated,424226,424226,m_2973,1,1,100,106,0.02,0.02
ins_573464324,M1,j_14203,1,Terminated,424226,424226,m_742,1,1,84,84,0.02,0
ins_791882836,R10_3_8_9,j_14203,1,Terminated,424226,424226,m_2235,1,1,38,38,0.02,0
ins_1268004659,M13_12,j_14203,1,Terminated,424226,424227,m_2671,1,1,30,75,0.02,0.04
ins_420502643,R3_2,j_14203,1,Terminated,424226,424226,m_3640,1,1,65,65,0.02,0
ins_698339183,R11_10,j_14203,1,Terminated,424226,424226,m_2110,1,1,30,30,0.02,0
ins_159101762,R2_1,j_14203,1,Terminated,424226,424226,m_3874,1,1,60,60,0.02,0
ins_698340097,R11_10,j_14203,1,Terminated,424226,424226,m_2339,1,1,25,25,0.03,0
ins_11622397,M6_5,j_14203,1,Terminated,424226,424226,m_1221,1,1,53,66,0.02,0.02
ins_742564685,R12_11,j_14203,1,Terminated,424226,424226,m_2469,1,1,27,27,0.02,0
ins_632742611,R5_4,j_14203,1,Terminated,424226,424226,m_2259,1,1,52,54,0.03,0.03
ins_745593854,R7_6,j_14203,1,Terminated,424226,424226,m_849,1,1,44,54,0.02,0.02
ins_698333697,R11_10,j_14203,1,Terminated,424226,424226,m_634,1,1,33,90,0.02,0.02
ins_1268004835,M13_12,j_14203,1,Terminated,424226,424227,m_1379,1,1,23,50,0.02,0.02
ins_299864857,R8_7,j_14203,1,Terminated,424226,424226,m_2012,1,1,44,72,0.02,0.02
ins_1268004747,M13_12,j_14203,1,Terminated,424226,424227,m_2179,1,1,33,50,0.02,0.04
ins_268172818,M1,j_16350,1,Terminated,324728,324730,m_3924,1,1,166,317,0.05,0.05
ins_1058012441,J7_1_6,j_16350,1,Terminated,324728,324734,m_1150,1,1,98,231,0.58,0.92
ins_1058012859,J7_1_6,j_16350,1,Terminated,324728,324734,m_2352,1,1,100,392,0.48,0.82
ins_1058012276,J7_1_6,j_16350,1,Terminated,324728,324734,m_547,1,1,95,496,0.48,0.82
ins_690458031,J6_3_4_5,j_16350,1,Terminated,324728,324734,m_517,1,1,31,111,0.59,0.82
ins_840436919,M4,j_16350,1,Terminated,324728,324731,m_3995,1,1,142,260,0.11,0.11
ins_534444682,R8_7,j_16350,1,Terminated,324728,324734,m_197,1,1,10,35,0.08,0.09
ins_690457860,J6_3_4_5,j_16350,1,Terminated,324728,324734,m_1041,1,1,36,93,0.57,0.84
ins_1101539356,M5,j_16350,1,Terminated,324728,324733,m_3563,1,1,187,349,0.1,0.1
ins_1058012776,J7_1_6,j_16350,1,Terminated,324728,324734,m_1354,1,1,108,411,0.42,0.87
ins_690458129,J6_3_4_5,j_16350,1,Terminated,324728,324734,m_1425,1,1,41,100,0.56,0.83
ins_224889686,M2,j_16350,1,Terminated,324728,324729,m_1412,1,1,94,95,0.03,0.04
ins_690458222,J6_3_4_5,j_16350,1,Terminated,324728,324734,m_688,1,1,35,87,0.56,0.82
ins_534444777,R8_7,j_16350,1,Terminated,324728,324734,m_1585,1,1,25,94,0.07,0.08
ins_534444958,R8_7,j_16350,1,Terminated,324728,324734,m_975,1,1,12,50,0.06,0.07
ins_1058012614,J7_1_6,j_16350,1,Terminated,324728,324734,m_4004,1,1,111,318,0.4,0.85
ins_534444596,R8_7,j_16350,1,Terminated,324728,324734,m_140,1,1,4,36,0.06,0.07
ins_534445050,R8_7,j_16350,1,Terminated,324728,324734,m_615,1,1,12,41,0.14,0.15
ins_534444512,R8_7,j_16350,1,Terminated,324728,324734,m_1878,1,1,11,95,0.12,0.13
ins_534445139,R8_7,j_16350,1,Terminated,324728,324734,m_114,1,1,11,100,0.18,0.19
ins_1058012525,J7_1_6,j_16350,1,Terminated,324728,324734,m_1792,1,1,95,241,0.48,0.87
ins_840436833,M4,j_16350,1,Terminated,324728,324730,m_2133,1,1,158,444,0.04,0.04
ins_690457945,J6_3_4_5,j_16350,1,Terminated,324728,324733,m_1241,1,1,35,114,0.56,0.82
ins_728398741,R3_2,j_16350,1,Terminated,324728,324729,m_855,1,1,53,53,0.02,0
ins_1058012693,J7_1_6,j_16350,1,Terminated,324728,324734,m_1273,1,1,115,409,0.37,0.82
ins_873873542,R12_11,j_2603,1,Terminated,362299,362311,m_230,1,1,3,50,0.03,0.03
ins_977593665,J10_3_9,j_2603,1,Terminated,362299,362311,m_2591,1,1,6,88,0.36,0.42
ins_1240679546,R8_7,j_2603,1,Terminated,362299,362300,m_3937,1,1,27,50,0.06,0.1
ins_324228869,M9_6_8,j_2603,1,Terminated,362299,362303,m_394,1,1,12,62,0.02,0.02
ins_873873211,R12_11,j_2603,1,Terminated,362299,362311,m_2039,1,1,4,78,0.03,0.03
ins_525671098,R11_10,j_2603,1,Terminated,362299,362311,m_2424,1,1,4,67,0.03,0.03
ins_562652699,M1,j_2603,1,Terminated,362299,362308,m_2450,1,1,39,235,0.04,0.05
ins_1023332940,R13_12,j_2603,1,Terminated,362299,362311,m_2326,1,1,3,34,0.03,0.03
ins_525670840,R11_10,j_2603,1,Terminated,362299,362311,m_1328,1,1,4,100,0.03,0.03
ins_1297179062,M2,j_2603,1,Terminated,362299,362301,m_3883,1,1,81,297,0.04,0.04
ins_324228947,M9_6_8,j_2603,1,Terminated,362299,362304,m_1683,1,1,12,64,0.03,0.03
ins_977594850,J10_3_9,j_2603,1,Terminated,362299,362311,m_430,1,1,6,103,0.39,0.42
ins_873873295,R12_11,j_2603,1,Terminated,362299,362311,m_2470,1,1,12,86,0.05,0.05
ins_318421786,R14_13,j_2603,1,Terminated,362299,362311,m_791,1,1,3,80,0.25,0.27
ins_1112835674,J3_1_2,j_2603,1,Terminated,362299,362311,m_3370,1,1,32,127,0.39,0.43
ins_873874307,R12_11,j_2603,1,Terminated,362299,362311,m_2470,1,1,3,89,0.05,0.05
ins_1112835588,J3_1_2,j_2603,1,Terminated,362299,362311,m_1701,1,1,31,123,0.39,0.43
ins_1161542176,M7,j_2603,1,Terminated,362299,362299,m_2582,1,1,40,40,0.04,0
ins_1112835424,J3_1_2,j_2603,1,Terminated,362299,362311,m_2036,1,1,29,151,0.39,0.46
ins_977594123,J10_3_9,j_2603,1,Terminated,362299,362311,m_46,1,1,6,62,0.39,0.42
ins_1112835503,J3_1_2,j_2603,1,Terminated,362299,362311,m_1701,1,1,29,150,0.39,0.43
ins_525671015,R11_10,j_2603,1,Terminated,362299,362311,m_2065,1,1,4,66,0.03,0.03
ins_977593750,J10_3_9,j_2603,1,Terminated,362299,362311,m_230,1,1,5,77,0.36,0.42
ins_525670242,R11_10,j_2603,1,Terminated,362299,362311,m_1056,1,1,4,48,0.03,0.03
ins_257201170,R6_5,j_2603,1,Terminated,362299,362303,m_2380,1,1,7,29,0.05,0.06
ins_525671397,R11_10,j_2603,1,Terminated,362299,362311,m_1738,1,1,4,94,0.03,0.03
ins_525671325,R11_10,j_2603,1,Terminated,362299,362311,m_2154,1,1,4,53,0.03,0.03
ins_873873380,R12_11,j_2603,1,Terminated,362299,362311,m_2143,1,1,3,100,0.03,0.03
ins_873865309,R12_11,j_2603,1,Terminated,362299,362311,m_1048,1,1,3,45,0.03,0.03
ins_907905176,M4,j_2603,1,Terminated,362299,362303,m_1630,1,1,91,131,0.02,0.03
ins_324229099,M9_6_8,j_2603,1,Terminated,362299,362303,m_1683,1,1,11,100,0.04,0.04
ins_1297178974,M2,j_2603,1,Terminated,362299,362302,m_762,1,1,58,217,0.22,0.23
ins_977594207,J10_3_9,j_2603,1,Terminated,362299,362311,m_942,1,1,5,64,0.39,0.42
ins_977593903,J10_3_9,j_2603,1,Terminated,362299,362311,m_2554,1,1,6,81,0.36,0.42
ins_977593832,J10_3_9,j_2603,1,Terminated,362299,362311,m_1028,1,1,5,62,0.4,0.43
ins_977593978,J10_3_9,j_2603,1,Terminated,362299,362311,m_513,1,1,5,60,0.36,0.42
ins_525671252,R11_10,j_2603,1,Terminated,362299,362311,m_2515,1,1,4,43,0.03,0.03
ins_977594044,J10_3_9,j_2603,1,Terminated,362299,362311,m_513,1,1,5,90,0.35,0.42
ins_1297179159,M2,j_2603,1,Terminated,362299,362301,m_3369,1,1,83,127,0.05,0.06
ins_873873628,R12_11,j_2603,1,Terminated,362299,362311,m_3531,1,1,3,51,0.03,0.03
ins_873873461,R12_11,j_2603,1,Terminated,362299,362311,m_1048,1,1,3,47,0.03,0.03
ins_525671178,R11_10,j_2603,1,Terminated,362299,362311,m_1764,1,1,4,70,0.03,0.03
ins_525670931,R11_10,j_2603,1,Terminated,362299,362311,m_3127,1,1,4,40,0.03,0.03
ins_1112835089,J3_1_2,j_2603,1,Terminated,362299,362311,m_2211,1,1,28,276,0.39,0.43
ins_461612933,R5_4,j_2603,1,Terminated,362299,362303,m_3462,1,1,70,133,0.02,0.02
ins_873873126,R12_11,j_2603,1,Terminated,362299,362311,m_2143,1,1,3,38,0.03,0.03
ins_649142525,R6_5,j_1057829,1,Terminated,277464,277465,m_3267,1,1,44,44,0.02,0.02
ins_89987977,M3,j_1057829,1,Terminated,277462,277471,m_1784,1,1,84,170,0.12,0.17
ins_753462547,M3,j_1057829,1,Terminated,277462,277476,m_436,1,1,50,173,0.12,0.15
ins_1277949997,R8_7,j_1057829,1,Terminated,277468,277468,m_1118,1,1,61,61,0.02,0.02
ins_1331919348,M3,j_1057829,1,Terminated,277462,277470,m_214,1,1,87,172,0.11,0.16
ins_12058161,M2,j_1057829,1,Terminated,277460,277467,m_1095,1,1,55,141,0.04,0.04
ins_1331912152,M3,j_1057829,1,Terminated,277462,277473,m_2061,1,1,65,158,0.12,0.16
ins_760853613,R11_10,j_1057829,1,Terminated,277488,277488,m_3098,1,1,64,64,0.02,0.02
ins_89987651,M3,j_1057829,1,Terminated,277462,277471,m_2567,1,1,87,166,0.12,0.17
ins_89988067,M3,j_1057829,1,Terminated,277462,277471,m_1455,1,1,77,151,0.13,0.17
ins_89988786,M3,j_1057829,1,Terminated,277462,277473,m_2807,1,1,72,162,0.12,0.17
ins_1331907303,M3,j_1057829,1,Terminated,277463,277474,m_2016,1,1,72,171,0.12,0.16
ins_283241103,R4_10,j_1057829,1,Terminated,277492,277493,m_1771,1,1,84,84,0.02,0.02
ins_1331917713,M3,j_1057829,1,Terminated,277462,277471,m_3617,1,1,80,169,0.11,0.16
ins_12058241,M2,j_1057829,1,Terminated,277460,277466,m_1373,1,1,80,168,0.04,0.04
ins_1331916895,M3,j_1057829,1,Terminated,277462,277471,m_3931,1,1,84,170,0.11,0.16
ins_89988151,M3,j_1057829,1,Terminated,277462,277473,m_3992,1,1,68,155,0.12,0.16
ins_1279306105,J12_4_11,j_1057829,1,Terminated,277497,277499,m_2426,1,1,24,51,0.02,0.02
ins_89987897,M3,j_1057829,1,Terminated,277462,277472,m_2930,1,1,75,161,0.12,0.17
ins_1331912952,M3,j_1057829,1,Terminated,277462,277471,m_895,1,1,79,158,0.11,0.16
ins_89987819,M3,j_1057829,1,Terminated,277462,277473,m_1960,1,1,65,160,0.13,0.17
ins_1331918510,M3,j_1057829,1,Terminated,277462,277472,m_956,1,1,74,156,0.11,0.16
ins_35081505,M7,j_1057829,1,Terminated,277463,277463,m_511,1,1,43,43,0.02,0.02
ins_1244292354,M2,j_1057829,1,Terminated,277460,277469,m_3859,1,1,51,161,0.04,0.04
ins_1244292782,M2,j_1057829,1,Terminated,277460,277467,m_3278,1,1,60,174,0.04,0.04
ins_432538123,M5,j_1057829,1,Terminated,277460,277461,m_3838,1,1,83,83,0.02,0.02
ins_12058072,M2,j_1057829,1,Terminated,277460,277466,m_1367,1,1,68,160,0.04,0.04
ins_1331910486,M3,j_1057829,1,Terminated,277462,277476,m_1421,1,1,53,166,0.13,0.16
ins_1244292435,M2,j_1057829,1,Terminated,277461,277471,m_1248,1,1,46,138,0.04,0.04
ins_1244292957,M2,j_1057829,1,Terminated,277460,277471,m_2873,1,1,43,145,0.04,0.04
ins_1244292516,M2,j_1057829,1,Terminated,277460,277468,m_182,1,1,54,153,0.04,0.04
ins_89988883,M3,j_1057829,1,Terminated,277462,277471,m_542,1,1,85,154,0.11,0.16
ins_1244293132,M2,j_1057829,1,Terminated,277460,277469,m_434,1,1,44,153,0.04,0.04
ins_89987736,M3,j_1057829,1,Terminated,277462,277473,m_3338,1,1,75,141,0.12,0.17
ins_89988232,M3,j_1057829,1,Terminated,277462,277471,m_3672,1,1,80,166,0.13,0.17
ins_1244293042,M2,j_1057829,1,Terminated,277460,277466,m_2052,1,1,59,154,0.04,0.04
ins_239538180,J10_1_2_3_6_8_9,j_1057829,1,Terminated,277482,277484,m_2467,1,1,83,91,0.03,0.03
ins_1331908051,M3,j_1057829,1,Terminated,277462,277473,m_2249,1,1,70,160,0.12,0.16
ins_675550312,M9,j_1057829,1,Terminated,277460,277462,m_3496,1,1,70,77,0.02,0.03
ins_1244292694,M2,j_1057829,1,Terminated,277461,277473,m_3601,1,1,36,158,0.04,0.04
ins_1244292872,M2,j_1057829,1,Terminated,277460,277468,m_779,1,1,51,148,0.04,0.04
ins_1331911243,M3,j_1057829,1,Terminated,277462,277473,m_912,1,1,61,163,0.12,0.16
ins_532083605,R1_5,j_1057829,1,Terminated,277465,277465,m_2643,1,1,59,59,0.02,0.02
ins_1244292606,M2,j_1057829,1,Terminated,277460,277469,m_3553,1,1,53,165,0.04,0.04
ins_187606278,R1_5,j_391414,1,Terminated,453735,453738,m_3406,1,1,39,85,0.02,0.03
ins_199587079,J32_26_31,j_391414,1,Terminated,454023,454038,m_649,1,1,25,79,0.03,0.04
ins_934095125,M29_28,j_391414,1,Terminated,453651,453656,m_471,1,1,73,87,0.04,0.05
ins_498455741,M15,j_391414,1,Terminated,453645,453649,m_3142,1,1,85,105,0.05,0.06
ins_1043472139,R35_34,j_391414,1,Terminated,454242,454246,m_2229,1,1,34,72,0.02,0.03
ins_989718748,R4_21,j_391414,1,Terminated,453652,453655,m_3045,1,1,13,32,0.02,0.02
ins_1022489639,R24_23,j_391414,1,Terminated,453756,453759,m_1926,1,1,33,83,0.02,0.03
ins_734162634,J25_1_6_12_13_14_24,j_391414,1,Terminated,453797,453850,m_2290,1,1,8,104,0.04,0.04
ins_1218673057,R34_11_33,j_391414,1,Terminated,454152,454172,m_2335,1,1,13,100,0.03,0.03
ins_1044594704,J5_2_3_4_15,j_391414,1,Terminated,453719,453725,m_2323,1,1,51,92,0.03,0.03
ins_65810546,R30_29,j_391414,1,Terminated,453663,453665,m_2337,1,1,65,76,0.03,0.03
ins_728131984,M16,j_391414,1,Terminated,453636,453684,m_1692,1,1,89,106,0.04,0.05
ins_421067969,J2_16_17_29,j_391414,1,Terminated,453699,453704,m_545,1,1,45,82,0.03,0.04
ins_1272372728,J18_16_17_29,j_391414,1,Terminated,453702,453712,m_3143,1,1,47,90,0.04,0.06
ins_1069111362,M19,j_391414,1,Terminated,453636,453636,m_2388,1,1,73,73,0.02,0.02
ins_464549865,J23_15_18_20_22,j_391414,1,Terminated,453733,453744,m_462,1,1,46,91,0.03,0.04
ins_25973016,R6_5,j_391414,1,Terminated,453732,453734,m_3571,1,1,44,69,0.02,0.03
ins_787743790,R33_32,j_391414,1,Terminated,454137,454144,m_1259,1,1,43,76,0.03,0.04
ins_470279538,J10_7_9,j_391414,1,Terminated,453986,453999,m_2034,1,1,16,87,0.03,0.03
ins_464550281,J23_15_18_20_22,j_391414,1,Terminated,453733,453743,m_3435,1,1,49,91,0.04,0.04
ins_1044594365,J5_2_3_4_15,j_391414,1,Terminated,453720,453725,m_2603,1,1,60,95,0.03,0.03
